phase,condition,n,success_rate,collision_rate,mean_steps,path_efficiency,final_pos_error,grasp_failure_rate,insert_depth_mean,insert_tilt_deg_mean,ever_grasped_rate,n_grasp_events_mean,grasp_retention_mean,run
1,in_dist,200,1.0,0.0,11.315,1.0749620325118976,0.0435473245407485,0.0,0.0,,0.0,0.0,,results
2,in_dist,200,0.995,0.0,37.235,0.3630949857723748,0.0471624136571969,0.8474573543235085,0.0,,1.0,1.39,0.9724269880771907,results
3,in_dist,200,0.86,0.08,76.895,0.248504269974112,0.1039356268177479,0.7786394438444967,0.0,,0.96,5.24,0.849505178404253,results
4,in_dist,200,0.015,0.57,225.74,0.2043395786694876,0.3525892215965795,0.9997368421052631,0.0009005383503629,0.1050388157764029,0.01,0.01,0.5197704081632653,results
5,in_dist,200,0.015,0.555,228.485,0.1988093858281726,0.3591238109425487,0.9328882350477398,0.0008994955828743,0.0300196963458754,,,,results
4,noise=0.000,200,0.015,0.425,269.435,0.1638072878968741,0.3934804184822503,0.9295773702315412,0.0013643130920402,0.0105159974763523,,,,results
4,noise=0.005,200,0.015,0.545,239.995,0.1574057517219579,0.4517617758182114,0.957633737976314,0.0009004801486827,0.104824029505109,,,,results
4,noise=0.010,200,0.015,0.555,237.525,0.1536061824307057,0.4624980609039733,0.9603479561322178,0.0009892460375068,0.1057414980801278,,,,results
4,noise=0.020,200,0.015,0.625,204.83,0.1980137534080399,0.4485291644989514,0.9642331698618708,0.0009004580084603,0.1070592667672084,,,,results
4,noise=0.040,200,0.015,0.685,195.255,0.1902324946611785,0.4000038047137039,0.9766726904409196,0.0009004177131873,0.108681869144073,,,,results
4,noise=0.080,200,0.015,0.69,174.485,0.2372776340212647,0.4412176333603233,0.986864019622924,0.0009004869529484,0.1070782394857123,,,,results
